state,county,current_votes,trump_votes,percent_trump_votes
Alabama,Cherokee County,12301,10583,86.03%
Alabama,Chilton County,19310,16085,83.30%
Alabama,Choctaw County,7464,4296,57.56%
Alabama,Clarke County,13135,7324,55.76%
Alabama,Clay County,6930,5601,80.82%
Alabama,Cleburne County,7227,6484,89.72%
Alabama,Coffee County,22275,16899,75.87%
Alabama,Colbert County,27886,19203,68.86%
Alabama,Conecuh County,6441,3442,53.44%
Alabama,Coosa County,5479,3631,66.27%
Alabama,Autauga County,27770,19838,71.44%
Alabama,Covington County,17430,14586,83.68%
Alabama,Crenshaw County,6617,4864,73.51%
Alabama,Cullman County,41851,36880,88.12%
Alabama,Dale County,19738,14303,72.46%
Alabama,Dallas County,17864,5524,30.92%
Alabama,DeKalb County,29356,24767,84.37%
Alabama,Elmore County,41030,30164,73.52%
Alabama,Escambia County,15910,10869,68.32%
Alabama,Etowah County,47728,35528,74.44%
Alabama,Fayette County,8766,7300,83.28%
Alabama,Baldwin County,109679,83544,76.17%
Alabama,Franklin County,12578,10376,82.49%
Alabama,Geneva County,12545,10848,86.47%
Alabama,Greene County,4775,875,18.32%
Alabama,Hale County,7922,3190,40.27%
Alabama,Henry County,9298,6607,71.06%
Alabama,Houston County,46173,32618,70.64%
Alabama,Jackson County,23636,19670,83.22%
Alabama,Jefferson County,325848,138843,42.61%
Alabama,Lamar County,7193,6174,85.83%
Alabama,Lauderdale County,44339,31721,71.54%
Alabama,Barbour County,10518,5622,53.45%
Alabama,Lawrence County,16031,12322,76.86%
Alabama,Lee County,71449,42221,59.09%
Alabama,Limestone County,49235,34640,70.36%
Alabama,Lowndes County,6835,1836,26.86%
Alabama,Macon County,8723,1541,17.67%
Alabama,Madison County,194767,102780,52.77%
Alabama,Marengo County,10900,5343,49.02%
Alabama,Marion County,13807,12205,88.40%
Alabama,Marshall County,39655,33191,83.70%
Alabama,Mobile County,183164,101243,55.27%
Alabama,Bibb County,9595,7525,78.43%
Alabama,Monroe County,10668,6147,57.62%
Alabama,Montgomery County,99139,33311,33.60%
Alabama,Morgan County,53722,39664,73.83%
Alabama,Perry County,5230,1339,25.60%
Alabama,Pickens County,9668,5594,57.86%
Alabama,Pike County,13841,8042,58.10%
Alabama,Randolph County,10837,8559,78.98%
Alabama,Russell County,21329,9864,46.25%
Alabama,St. Clair County,44441,36166,81.38%
Alabama,Shelby County,114950,79700,69.33%
Alabama,Blount County,27588,24711,89.57%
Alabama,Sumter County,6291,1598,25.40%
Alabama,Talladega County,35663,22235,62.35%
Alabama,Tallapoosa County,20991,14963,71.28%
Alabama,Tuscaloosa County,90172,51117,56.69%
Alabama,Walker County,31170,26002,83.42%
Alabama,Washington County,8876,6564,73.95%
Alabama,Wilcox County,5903,1833,31.05%
Alabama,Winston County,11284,10195,90.35%
Alabama,Bullock County,4613,1146,24.84%
Alabama,Butler County,9488,5458,57.53%
Alabama,Calhoun County,50983,35101,68.85%
Alabama,Chambers County,15284,8753,57.27%
Alaska,ED 10,11256,8081,71.79%
Alaska,ED 11,10686,7096,66.40%
Alaska,ED 12,11280,7893,69.97%
Alaska,ED 13,7765,4652,59.91%
Alaska,ED 14,11534,6714,58.21%
Alaska,ED 15,5593,2671,47.76%
Alaska,ED 16,8170,3516,43.04%
Alaska,ED 17,7271,2810,38.65%
Alaska,ED 18,7759,2760,35.57%
Alaska,ED 19,5338,1975,37.00%
Alaska,ED 1,7360,3511,47.70%
Alaska,ED 20,7544,2383,31.59%
Alaska,ED 21,9482,3690,38.92%
Alaska,ED 22,9597,4684,48.81%
Alaska,ED 23,7796,3655,46.88%
Alaska,ED 24,10484,5378,51.30%
Alaska,ED 25,9369,4407,47.04%
Alaska,ED 26,20292,5243,25.84%
Alaska,ED 27,19037,4324,22.71%
Alaska,ED 28,25580,6162,24.09%
Alaska,ED 29,10784,7464,69.21%
Alaska,ED 2,6161,3674,59.63%
Alaska,ED 30,10226,7180,70.21%
Alaska,ED 31,12481,6971,55.85%
Alaska,ED 32,8361,4440,53.10%
Alaska,ED 33,11016,3059,27.77%
Alaska,ED 34,10794,4543,42.09%
Alaska,ED 35,10149,4769,46.99%
Alaska,ED 36,9292,5114,55.04%
Alaska,ED 37,5168,2358,45.63%
Alaska,ED 38,5299,1737,32.78%
Alaska,ED 39,5930,1939,32.70%
Alaska,ED 3,8385,6076,72.46%
