date,county,state,fips,cases,deaths
11/15/2020,Autauga,Alabama,1001,2456,36
11/15/2020,Baldwin,Alabama,1003,7646,84
11/15/2020,Barbour,Alabama,1005,1128,9
11/15/2020,Bibb,Alabama,1007,986,17
11/15/2020,Blount,Alabama,1009,2549,34
11/15/2020,Bullock,Alabama,1011,677,19
11/15/2020,Butler,Alabama,1013,1087,41
11/15/2020,Calhoun,Alabama,1015,5608,77
11/15/2020,Chambers,Alabama,1017,1570,48
11/15/2020,Cherokee,Alabama,1019,908,15
11/15/2020,Chilton,Alabama,1021,2078,36
11/15/2020,Choctaw,Alabama,1023,411,12
11/15/2020,Clarke,Alabama,1025,1503,18
11/15/2020,Clay,Alabama,1027,850,13
11/15/2020,Cleburne,Alabama,1029,669,11
11/15/2020,Coffee,Alabama,1031,2170,14
11/15/2020,Colbert,Alabama,1033,2736,38
11/15/2020,Conecuh,Alabama,1035,645,14
11/15/2020,Coosa,Alabama,1037,269,3
11/15/2020,Covington,Alabama,1039,2039,32
11/15/2020,Crenshaw,Alabama,1041,675,30
11/15/2020,Cullman,Alabama,1043,3701,30
11/15/2020,Dale,Alabama,1045,2175,54
11/15/2020,Dallas,Alabama,1047,2062,28
11/15/2020,DeKalb,Alabama,1049,4209,34
11/15/2020,Elmore,Alabama,1051,3648,61
11/15/2020,Escambia,Alabama,1053,1881,31
11/15/2020,Etowah,Alabama,1055,5348,61
11/15/2020,Fayette,Alabama,1057,735,15
11/15/2020,Franklin,Alabama,1059,2336,33
11/15/2020,Geneva,Alabama,1061,1101,8
11/15/2020,Greene,Alabama,1063,375,17
11/15/2020,Hale,Alabama,1065,873,30
11/15/2020,Henry,Alabama,1067,815,6
11/15/2020,Houston,Alabama,1069,4761,37
11/15/2020,Jackson,Alabama,1071,2719,23
11/15/2020,Jefferson,Alabama,1073,27884,461
11/15/2020,Lamar,Alabama,1075,584,7
11/15/2020,Lauderdale,Alabama,1077,3298,51
11/15/2020,Lawrence,Alabama,1079,1076,35
11/15/2020,Lee,Alabama,1081,7212,65
11/15/2020,Limestone,Alabama,1083,3653,41
11/15/2020,Lowndes,Alabama,1085,760,29
11/15/2020,Macon,Alabama,1087,654,20
11/15/2020,Madison,Alabama,1089,11305,118
11/15/2020,Marengo,Alabama,1091,1132,24
11/15/2020,Marion,Alabama,1093,1276,32
11/15/2020,Marshall,Alabama,1095,5330,53
11/15/2020,Mobile,Alabama,1097,18524,339
11/15/2020,Monroe,Alabama,1099,732,10
11/15/2020,Montgomery,Alabama,1101,11596,224
11/15/2020,Morgan,Alabama,1103,5400,41
11/15/2020,Perry,Alabama,1105,639,6
11/15/2020,Pickens,Alabama,1107,1073,18
11/15/2020,Pike,Alabama,1109,1494,14
11/15/2020,Randolph,Alabama,1111,950,20
11/15/2020,Russell,Alabama,1113,2073,3
11/15/2020,Shelby,Alabama,1117,9011,73
11/15/2020,St. Clair,Alabama,1115,3736,55
11/15/2020,Sumter,Alabama,1119,533,21
11/15/2020,Talladega,Alabama,1121,3171,41
11/15/2020,Tallapoosa,Alabama,1123,1604,88
11/15/2020,Tuscaloosa,Alabama,1125,11810,148
11/15/2020,Walker,Alabama,1127,3294,96
11/15/2020,Washington,Alabama,1129,875,12
11/15/2020,Wilcox,Alabama,1131,606,12
11/15/2020,Winston,Alabama,1133,1138,22
11/15/2020,Aleutians East Borough,Alaska,2013,21,0
11/15/2020,Aleutians West Census Area,Alaska,2016,105,0
11/15/2020,Anchorage,Alaska,2020,12305,59
11/15/2020,Bethel Census Area,Alaska,2050,906,1
11/15/2020,Bristol Bay Borough,Alaska,2060,76,0
11/15/2020,Denali Borough,Alaska,2068,38,0
11/15/2020,Dillingham Census Area,Alaska,2070,80,0
11/15/2020,Fairbanks North Star Borough,Alaska,2090,2877,17
11/15/2020,Haines Borough,Alaska,2100,16,0
11/15/2020,Juneau City and Borough,Alaska,2110,734,2
11/15/2020,Kenai Peninsula Borough,Alaska,2122,1741,3
11/15/2020,Ketchikan Gateway Borough,Alaska,2130,171,0
11/15/2020,Kodiak Island Borough,Alaska,2150,170,0
11/15/2020,Kusilvak Census Area,Alaska,2158,353,0
11/15/2020,Lake and Peninsula Borough,Alaska,2164,5,0
11/15/2020,Matanuska-Susitna Borough,Alaska,2170,2316,5
11/15/2020,Nome Census Area,Alaska,2180,165,0
11/15/2020,North Slope Borough,Alaska,2185,375,0
11/15/2020,Northwest Arctic Borough,Alaska,2188,307,0
11/15/2020,Petersburg Borough,Alaska,2195,20,0
11/15/2020,Prince of Wales-Hyder Census Area,Alaska,2198,44,1
11/15/2020,Sitka City and Borough,Alaska,2220,131,0
11/15/2020,Skagway Municipality,Alaska,2230,7,0
11/15/2020,Southeast Fairbanks Census Area,Alaska,2240,155,1
11/15/2020,Unknown,Alaska,,197,0
11/15/2020,Valdez-Cordova Census Area,Alaska,2261,216,1
11/15/2020,Wrangell City and Borough,Alaska,2275,20,0
11/15/2020,Yukon-Koyukuk Census Area,Alaska,2290,137,2
11/15/2020,Apache,Arizona,4001,4391,189
11/15/2020,Cochise,Arizona,4003,2705,77
11/15/2020,Coconino,Arizona,4005,6318,159
11/15/2020,Gila,Arizona,4007,2362,78
11/15/2020,Graham,Arizona,4009,1675,32
11/15/2020,Greenlee,Arizona,4011,129,2
11/15/2020,La Paz,Arizona,4012,681,18
11/15/2020,Maricopa,Arizona,4013,176283,3798
11/15/2020,Mohave,Arizona,4015,5105,244
11/15/2020,Navajo,Arizona,4017,7142,261
11/15/2020,Pima,Arizona,4019,32802,670
11/15/2020,Pinal,Arizona,4021,13632,239
11/15/2020,Santa Cruz,Arizona,4023,3299,66
11/15/2020,Yavapai,Arizona,4025,3637,104
11/15/2020,Yuma,Arizona,4027,15362,365
11/15/2020,Arkansas,Arkansas,5001,838,20
11/15/2020,Ashley,Arkansas,5003,679,13
11/15/2020,Baxter,Arkansas,5005,1089,19
11/15/2020,Benton,Arkansas,5007,10354,135
11/15/2020,Boone,Arkansas,5009,1363,40
11/15/2020,Bradley,Arkansas,5011,392,8
11/15/2020,Calhoun,Arkansas,5013,104,0
11/15/2020,Carroll,Arkansas,5015,1171,21
11/15/2020,Chicot,Arkansas,5017,1090,24
11/15/2020,Clark,Arkansas,5019,683,6
11/15/2020,Clay,Arkansas,5021,680,18
11/15/2020,Cleburne,Arkansas,5023,598,18
11/15/2020,Cleveland,Arkansas,5025,301,13
11/15/2020,Columbia,Arkansas,5027,870,22
11/15/2020,Conway,Arkansas,5029,500,6
11/15/2020,Craighead,Arkansas,5031,5993,62
11/15/2020,Crawford,Arkansas,5033,2646,33
11/15/2020,Crittenden,Arkansas,5035,2879,54
11/15/2020,Cross,Arkansas,5037,675,24
11/15/2020,Dallas,Arkansas,5039,232,6
11/15/2020,Desha,Arkansas,5041,479,8
11/15/2020,Drew,Arkansas,5043,515,7
11/15/2020,Faulkner,Arkansas,5045,4100,43
11/15/2020,Franklin,Arkansas,5047,660,5
11/15/2020,Fulton,Arkansas,5049,434,12
11/15/2020,Garland,Arkansas,5051,3210,86
11/15/2020,Grant,Arkansas,5053,464,5
11/15/2020,Greene,Arkansas,5055,2192,25
11/15/2020,Hempstead,Arkansas,5057,722,6
11/15/2020,Hot Spring,Arkansas,5059,2591,40
11/15/2020,Howard,Arkansas,5061,721,15
11/15/2020,Independence,Arkansas,5063,1852,68
11/15/2020,Izard,Arkansas,5065,886,4
11/15/2020,Jackson,Arkansas,5067,1268,6
11/15/2020,Jefferson,Arkansas,5069,4758,104
11/15/2020,Johnson,Arkansas,5071,1142,11
11/15/2020,Lafayette,Arkansas,5073,230,3
11/15/2020,Lawrence,Arkansas,5075,1018,26
11/15/2020,Lee,Arkansas,5077,1136,18
11/15/2020,Lincoln,Arkansas,5079,2364,18
11/15/2020,Little River,Arkansas,5081,558,39
11/15/2020,Logan,Arkansas,5083,741,5
11/15/2020,Lonoke,Arkansas,5085,2266,36
11/15/2020,Madison,Arkansas,5087,526,6
11/15/2020,Marion,Arkansas,5089,293,2
11/15/2020,Miller,Arkansas,5091,1894,22
11/15/2020,Mississippi,Arkansas,5093,2818,75
11/15/2020,Monroe,Arkansas,5095,267,4
11/15/2020,Montgomery,Arkansas,5097,217,10
11/15/2020,Nevada,Arkansas,5099,389,14
11/15/2020,Newton,Arkansas,5101,374,22
11/15/2020,Ouachita,Arkansas,5103,494,11
11/15/2020,Perry,Arkansas,5105,197,3
11/15/2020,Phillips,Arkansas,5107,835,16
11/15/2020,Pike,Arkansas,5109,317,1
11/15/2020,Poinsett,Arkansas,5111,1466,33
11/15/2020,Polk,Arkansas,5113,567,6
11/15/2020,Pope,Arkansas,5115,3213,39
11/15/2020,Prairie,Arkansas,5117,317,5
11/15/2020,Pulaski,Arkansas,5119,14391,236
11/15/2020,Randolph,Arkansas,5121,828,28
11/15/2020,Saline,Arkansas,5125,3845,46
